"행정구역별(시군구)","성별","교육정도별","항목","단위","2015 년",
"북구","여자","중학교","일하지 않았음","","4568",
"북구","여자","중학교","미상","","",
"북구","여자","고등학교","15세 이상 인구","","30740",
"북구","여자","고등학교","일하였음-계","","11866",
"북구","여자","고등학교","주로 일하였음","","10882",
"북구","여자","고등학교","틈틈이 일하였음","","841",
"북구","여자","고등학교","일시 휴직","","143",
"북구","여자","고등학교","일하지 않았음","","18874",
"북구","여자","고등학교","미상","","",
"북구","여자","대학(4년제 미만)","15세 이상 인구","","12638",
"북구","여자","대학(4년제 미만)","일하였음-계","","5968",
"북구","여자","대학(4년제 미만)","주로 일하였음","","5268",
"북구","여자","대학(4년제 미만)","틈틈이 일하였음","","569",
"북구","여자","대학(4년제 미만)","일시 휴직","","131",
"북구","여자","대학(4년제 미만)","일하지 않았음","","6670",
"북구","여자","대학(4년제 미만)","미상","","",
"북구","여자","대학교(4년제 이상)","15세 이상 인구","","14245",
"북구","여자","대학교(4년제 이상)","일하였음-계","","7075",
"북구","여자","대학교(4년제 이상)","주로 일하였음","","6174",
"북구","여자","대학교(4년제 이상)","틈틈이 일하였음","","673",
"북구","여자","대학교(4년제 이상)","일시 휴직","","228",
"북구","여자","대학교(4년제 이상)","일하지 않았음","","7170",
"북구","여자","대학교(4년제 이상)","미상","","",
"북구","여자","대학원석사과정","15세 이상 인구","","1130",
"북구","여자","대학원석사과정","일하였음-계","","770",
"북구","여자","대학원석사과정","주로 일하였음","","647",
"북구","여자","대학원석사과정","틈틈이 일하였음","","63",
"북구","여자","대학원석사과정","일시 휴직","","60",
"북구","여자","대학원석사과정","일하지 않았음","","360",
"북구","여자","대학원석사과정","미상","","",
"북구","여자","대학원박사과정","15세 이상 인구","","138",
"북구","여자","대학원박사과정","일하였음-계","","90",
"북구","여자","대학원박사과정","주로 일하였음","","78",
"북구","여자","대학원박사과정","틈틈이 일하였음","","12",
"북구","여자","대학원박사과정","일시 휴직","","",
"북구","여자","대학원박사과정","일하지 않았음","","48",
"북구","여자","대학원박사과정","미상","","",
"북구","여자","안 받았음(미취학 포함)","15세 이상 인구","","2360",
"북구","여자","안 받았음(미취학 포함)","일하였음-계","","224",
"북구","여자","안 받았음(미취학 포함)","주로 일하였음","","201",
"북구","여자","안 받았음(미취학 포함)","틈틈이 일하였음","","23",
"북구","여자","안 받았음(미취학 포함)","일시 휴직","","",
"북구","여자","안 받았음(미취학 포함)","일하지 않았음","","2136",
"북구","여자","안 받았음(미취학 포함)","미상","","",
"울주군","계","계","15세 이상 인구","","177518",
"울주군","계","계","일하였음-계","","101029",
"울주군","계","계","주로 일하였음","","95156",
"울주군","계","계","틈틈이 일하였음","","4708",
"울주군","계","계","일시 휴직","","1165",
"울주군","계","계","일하지 않았음","","76489",
"울주군","계","계","미상","","",
"울주군","계","초등학교","15세 이상 인구","","14313",
"울주군","계","초등학교","일하였음-계","","5254",
"울주군","계","초등학교","주로 일하였음","","4804",
"울주군","계","초등학교","틈틈이 일하였음","","382",
"울주군","계","초등학교","일시 휴직","","68",
"울주군","계","초등학교","일하지 않았음","","9059",
"울주군","계","초등학교","미상","","",
"울주군","계","중학교","15세 이상 인구","","16377",
"울주군","계","중학교","일하였음-계","","7467",
"울주군","계","중학교","주로 일하였음","","7120",
"울주군","계","중학교","틈틈이 일하였음","","283",
"울주군","계","중학교","일시 휴직","","64",
"울주군","계","중학교","일하지 않았음","","8910",
"울주군","계","중학교","미상","","",
"울주군","계","고등학교","15세 이상 인구","","69581",
"울주군","계","고등학교","일하였음-계","","41257",
"울주군","계","고등학교","주로 일하였음","","39524",
"울주군","계","고등학교","틈틈이 일하였음","","1327",
"울주군","계","고등학교","일시 휴직","","406",
"울주군","계","고등학교","일하지 않았음","","28324",
"울주군","계","고등학교","미상","","",
"울주군","계","대학(4년제 미만)","15세 이상 인구","","25520",
"울주군","계","대학(4년제 미만)","일하였음-계","","17239",
"울주군","계","대학(4년제 미만)","주로 일하였음","","16343",
"울주군","계","대학(4년제 미만)","틈틈이 일하였음","","671",
"울주군","계","대학(4년제 미만)","일시 휴직","","225",
"울주군","계","대학(4년제 미만)","일하지 않았음","","8281",
"울주군","계","대학(4년제 미만)","미상","","",
"울주군","계","대학교(4년제 이상)","15세 이상 인구","","39803",
"울주군","계","대학교(4년제 이상)","일하였음-계","","24679",
"울주군","계","대학교(4년제 이상)","주로 일하였음","","22584",
"울주군","계","대학교(4년제 이상)","틈틈이 일하였음","","1771",
"울주군","계","대학교(4년제 이상)","일시 휴직","","324",
"울주군","계","대학교(4년제 이상)","일하지 않았음","","15124",
"울주군","계","대학교(4년제 이상)","미상","","",
"울주군","계","대학원석사과정","15세 이상 인구","","4523",
"울주군","계","대학원석사과정","일하였음-계","","3273",
"울주군","계","대학원석사과정","주로 일하였음","","3060",
"울주군","계","대학원석사과정","틈틈이 일하였음","","141",
"울주군","계","대학원석사과정","일시 휴직","","72",
"울주군","계","대학원석사과정","일하지 않았음","","1250",
"울주군","계","대학원석사과정","미상","","",
"울주군","계","대학원박사과정","15세 이상 인구","","1288",
"울주군","계","대학원박사과정","일하였음-계","","980",
"울주군","계","대학원박사과정","주로 일하였음","","935",
"울주군","계","대학원박사과정","틈틈이 일하였음","","45",
"울주군","계","대학원박사과정","일시 휴직","","",
"울주군","계","대학원박사과정","일하지 않았음","","308",
"울주군","계","대학원박사과정","미상","","",
"울주군","계","안 받았음(미취학 포함)","15세 이상 인구","","6113",
"울주군","계","안 받았음(미취학 포함)","일하였음-계","","880",
"울주군","계","안 받았음(미취학 포함)","주로 일하였음","","786",
"울주군","계","안 받았음(미취학 포함)","틈틈이 일하였음","","88",
"울주군","계","안 받았음(미취학 포함)","일시 휴직","","6",
"울주군","계","안 받았음(미취학 포함)","일하지 않았음","","5233",
"울주군","계","안 받았음(미취학 포함)","미상","","",
"울주군","남자","계","15세 이상 인구","","90351",
"울주군","남자","계","일하였음-계","","63684",
"울주군","남자","계","주로 일하였음","","61747",
"울주군","남자","계","틈틈이 일하였음","","1332",
"울주군","남자","계","일시 휴직","","605",
"울주군","남자","계","일하지 않았음","","26667",
"울주군","남자","계","미상","","",
"울주군","남자","초등학교","15세 이상 인구","","4693",
"울주군","남자","초등학교","일하였음-계","","2278",
"울주군","남자","초등학교","주로 일하였음","","2227",
"울주군","남자","초등학교","틈틈이 일하였음","","15",
"울주군","남자","초등학교","일시 휴직","","36",
"울주군","남자","초등학교","일하지 않았음","","2415",
"울주군","남자","초등학교","미상","","",
"울주군","남자","중학교","15세 이상 인구","","7501",
"울주군","남자","중학교","일하였음-계","","4061",
"울주군","남자","중학교","주로 일하였음","","3943",
"울주군","남자","중학교","틈틈이 일하였음","","79",
"울주군","남자","중학교","일시 휴직","","39",
"울주군","남자","중학교","일하지 않았음","","3440",
"울주군","남자","중학교","미상","","",
"울주군","남자","고등학교","15세 이상 인구","","36623",
"울주군","남자","고등학교","일하였음-계","","26838",
"울주군","남자","고등학교","주로 일하였음","","26309",
"울주군","남자","고등학교","틈틈이 일하였음","","254",
"울주군","남자","고등학교","일시 휴직","","275",
"울주군","남자","고등학교","일하지 않았음","","9785",
"울주군","남자","고등학교","미상","","",
"울주군","남자","대학(4년제 미만)","15세 이상 인구","","13888",
"울주군","남자","대학(4년제 미만)","일하였음-계","","11377",
"울주군","남자","대학(4년제 미만)","주로 일하였음","","11012",
"울주군","남자","대학(4년제 미만)","틈틈이 일하였음","","251",
"울주군","남자","대학(4년제 미만)","일시 휴직","","114",
"울주군","남자","대학(4년제 미만)","일하지 않았음","","2511",
"울주군","남자","대학(4년제 미만)","미상","","",
"울주군","남자","대학교(4년제 이상)","15세 이상 인구","","22963",
"울주군","남자","대학교(4년제 이상)","일하였음-계","","16175",
"울주군","남자","대학교(4년제 이상)","주로 일하였음","","15421",
"울주군","남자","대학교(4년제 이상)","틈틈이 일하였음","","622",
"울주군","남자","대학교(4년제 이상)","일시 휴직","","132",
"울주군","남자","대학교(4년제 이상)","일하지 않았음","","6788",
"울주군","남자","대학교(4년제 이상)","미상","","",
"울주군","남자","대학원석사과정","15세 이상 인구","","2531",
"울주군","남자","대학원석사과정","일하였음-계","","1931",
"울주군","남자","대학원석사과정","주로 일하였음","","1866",
"울주군","남자","대학원석사과정","틈틈이 일하였음","","56",
"울주군","남자","대학원석사과정","일시 휴직","","9",
"울주군","남자","대학원석사과정","일하지 않았음","","600",
"울주군","남자","대학원석사과정","미상","","",
"울주군","남자","대학원박사과정","15세 이상 인구","","990",
"울주군","남자","대학원박사과정","일하였음-계","","771",
"울주군","남자","대학원박사과정","주로 일하였음","","730",
"울주군","남자","대학원박사과정","틈틈이 일하였음","","41",
"울주군","남자","대학원박사과정","일시 휴직","","",
"울주군","남자","대학원박사과정","일하지 않았음","","219",
"울주군","남자","대학원박사과정","미상","","",
"울주군","남자","안 받았음(미취학 포함)","15세 이상 인구","","1162",
"울주군","남자","안 받았음(미취학 포함)","일하였음-계","","253",
"울주군","남자","안 받았음(미취학 포함)","주로 일하였음","","239",
"울주군","남자","안 받았음(미취학 포함)","틈틈이 일하였음","","14",
"울주군","남자","안 받았음(미취학 포함)","일시 휴직","","",
"울주군","남자","안 받았음(미취학 포함)","일하지 않았음","","909",
"울주군","남자","안 받았음(미취학 포함)","미상","","",
"울주군","여자","계","15세 이상 인구","","87167",
"울주군","여자","계","일하였음-계","","37345",
"울주군","여자","계","주로 일하였음","","33409",
"울주군","여자","계","틈틈이 일하였음","","3376",
"울주군","여자","계","일시 휴직","","560",
"울주군","여자","계","일하지 않았음","","49822",
"울주군","여자","계","미상","","",
"울주군","여자","초등학교","15세 이상 인구","","9620",
"울주군","여자","초등학교","일하였음-계","","2976",
"울주군","여자","초등학교","주로 일하였음","","2577",
"울주군","여자","초등학교","틈틈이 일하였음","","367",
"울주군","여자","초등학교","일시 휴직","","32",
"울주군","여자","초등학교","일하지 않았음","","6644",
"울주군","여자","초등학교","미상","","",
"울주군","여자","중학교","15세 이상 인구","","8876",
"울주군","여자","중학교","일하였음-계","","3406",
"울주군","여자","중학교","주로 일하였음","","3177",
"울주군","여자","중학교","틈틈이 일하였음","","204",
"울주군","여자","중학교","일시 휴직","","25",
"울주군","여자","중학교","일하지 않았음","","5470",
"울주군","여자","중학교","미상","","",
"울주군","여자","고등학교","15세 이상 인구","","32958",
"울주군","여자","고등학교","일하였음-계","","14419",
"울주군","여자","고등학교","주로 일하였음","","13215",
"울주군","여자","고등학교","틈틈이 일하였음","","1073",
"울주군","여자","고등학교","일시 휴직","","131",
"울주군","여자","고등학교","일하지 않았음","","18539",
"울주군","여자","고등학교","미상","","",
"울주군","여자","대학(4년제 미만)","15세 이상 인구","","11632",
"울주군","여자","대학(4년제 미만)","일하였음-계","","5862",
"울주군","여자","대학(4년제 미만)","주로 일하였음","","5331",
"울주군","여자","대학(4년제 미만)","틈틈이 일하였음","","420",
"울주군","여자","대학(4년제 미만)","일시 휴직","","111",
"울주군","여자","대학(4년제 미만)","일하지 않았음","","5770",
"울주군","여자","대학(4년제 미만)","미상","","",
"울주군","여자","대학교(4년제 이상)","15세 이상 인구","","16840",
"울주군","여자","대학교(4년제 이상)","일하였음-계","","8504",
"울주군","여자","대학교(4년제 이상)","주로 일하였음","","7163",
"울주군","여자","대학교(4년제 이상)","틈틈이 일하였음","","1149",
"울주군","여자","대학교(4년제 이상)","일시 휴직","","192",
"울주군","여자","대학교(4년제 이상)","일하지 않았음","","8336",
"울주군","여자","대학교(4년제 이상)","미상","","",
"울주군","여자","대학원석사과정","15세 이상 인구","","1992",
"울주군","여자","대학원석사과정","일하였음-계","","1342",
"울주군","여자","대학원석사과정","주로 일하였음","","1194",
"울주군","여자","대학원석사과정","틈틈이 일하였음","","85",
"울주군","여자","대학원석사과정","일시 휴직","","63",
"울주군","여자","대학원석사과정","일하지 않았음","","650",
"울주군","여자","대학원석사과정","미상","","",
"울주군","여자","대학원박사과정","15세 이상 인구","","298",
"울주군","여자","대학원박사과정","일하였음-계","","209",
"울주군","여자","대학원박사과정","주로 일하였음","","205",
"울주군","여자","대학원박사과정","틈틈이 일하였음","","4",
"울주군","여자","대학원박사과정","일시 휴직","","",
"울주군","여자","대학원박사과정","일하지 않았음","","89",
"울주군","여자","대학원박사과정","미상","","",
"울주군","여자","안 받았음(미취학 포함)","15세 이상 인구","","4951",
"울주군","여자","안 받았음(미취학 포함)","일하였음-계","","627",
"울주군","여자","안 받았음(미취학 포함)","주로 일하였음","","547",
"울주군","여자","안 받았음(미취학 포함)","틈틈이 일하였음","","74",
"울주군","여자","안 받았음(미취학 포함)","일시 휴직","","6",
"울주군","여자","안 받았음(미취학 포함)","일하지 않았음","","4324",
"울주군","여자","안 받았음(미취학 포함)","미상","","",
"세종특별자치시","계","계","15세 이상 인구","","160018",
"세종특별자치시","계","계","일하였음-계","","94092",
"세종특별자치시","계","계","주로 일하였음","","86831",
"세종특별자치시","계","계","틈틈이 일하였음","","5285",
"세종특별자치시","계","계","일시 휴직","","1976",
"세종특별자치시","계","계","일하지 않았음","","65926",
"세종특별자치시","계","계","미상","","",
"세종특별자치시","계","초등학교","15세 이상 인구","","14060",
"세종특별자치시","계","초등학교","일하였음-계","","5693",
"세종특별자치시","계","초등학교","주로 일하였음","","5207",
"세종특별자치시","계","초등학교","틈틈이 일하였음","","451",
"세종특별자치시","계","초등학교","일시 휴직","","35",
"세종특별자치시","계","초등학교","일하지 않았음","","8367",
"세종특별자치시","계","초등학교","미상","","",
"세종특별자치시","계","중학교","15세 이상 인구","","10628",
"세종특별자치시","계","중학교","일하였음-계","","5240",
"세종특별자치시","계","중학교","주로 일하였음","","4897",
"세종특별자치시","계","중학교","틈틈이 일하였음","","280",
"세종특별자치시","계","중학교","일시 휴직","","63",
"세종특별자치시","계","중학교","일하지 않았음","","5388",
"세종특별자치시","계","중학교","미상","","",
"세종특별자치시","계","고등학교","15세 이상 인구","","40850",
"세종특별자치시","계","고등학교","일하였음-계","","23464",
"세종특별자치시","계","고등학교","주로 일하였음","","22297",
"세종특별자치시","계","고등학교","틈틈이 일하였음","","860",
"세종특별자치시","계","고등학교","일시 휴직","","307",
"세종특별자치시","계","고등학교","일하지 않았음","","17386",
"세종특별자치시","계","고등학교","미상","","",
"세종특별자치시","계","대학(4년제 미만)","15세 이상 인구","","20442",
"세종특별자치시","계","대학(4년제 미만)","일하였음-계","","12885",
"세종특별자치시","계","대학(4년제 미만)","주로 일하였음","","11883",
"세종특별자치시","계","대학(4년제 미만)","틈틈이 일하였음","","779",
"세종특별자치시","계","대학(4년제 미만)","일시 휴직","","223",
"세종특별자치시","계","대학(4년제 미만)","일하지 않았음","","7557",
"세종특별자치시","계","대학(4년제 미만)","미상","","",
"세종특별자치시","계","대학교(4년제 이상)","15세 이상 인구","","53565",
"세종특별자치시","계","대학교(4년제 이상)","일하였음-계","","32796",
"세종특별자치시","계","대학교(4년제 이상)","주로 일하였음","","29502",
"세종특별자치시","계","대학교(4년제 이상)","틈틈이 일하였음","","2297",
"세종특별자치시","계","대학교(4년제 이상)","일시 휴직","","997",
"세종특별자치시","계","대학교(4년제 이상)","일하지 않았음","","20769",
"세종특별자치시","계","대학교(4년제 이상)","미상","","",
"세종특별자치시","계","대학원석사과정","15세 이상 인구","","11601",
"세종특별자치시","계","대학원석사과정","일하였음-계","","9471",
"세종특별자치시","계","대학원석사과정","주로 일하였음","","8788",
"세종특별자치시","계","대학원석사과정","틈틈이 일하였음","","399",
"세종특별자치시","계","대학원석사과정","일시 휴직","","284",
"세종특별자치시","계","대학원석사과정","일하지 않았음","","2130",
"세종특별자치시","계","대학원석사과정","미상","","",
"세종특별자치시","계","대학원박사과정","15세 이상 인구","","4116",
"세종특별자치시","계","대학원박사과정","일하였음-계","","3702",
"세종특별자치시","계","대학원박사과정","주로 일하였음","","3510",
"세종특별자치시","계","대학원박사과정","틈틈이 일하였음","","135",
"세종특별자치시","계","대학원박사과정","일시 휴직","","57",
"세종특별자치시","계","대학원박사과정","일하지 않았음","","414",
"세종특별자치시","계","대학원박사과정","미상","","",
"세종특별자치시","계","안 받았음(미취학 포함)","15세 이상 인구","","4756",
"세종특별자치시","계","안 받았음(미취학 포함)","일하였음-계","","841",
"세종특별자치시","계","안 받았음(미취학 포함)","주로 일하였음","","747",
"세종특별자치시","계","안 받았음(미취학 포함)","틈틈이 일하였음","","84",
"세종특별자치시","계","안 받았음(미취학 포함)","일시 휴직","","10",
"세종특별자치시","계","안 받았음(미취학 포함)","일하지 않았음","","3915",
"세종특별자치시","계","안 받았음(미취학 포함)","미상","","",
"세종특별자치시","남자","계","15세 이상 인구","","79743",
"세종특별자치시","남자","계","일하였음-계","","56411",
"세종특별자치시","남자","계","주로 일하였음","","54222",
"세종특별자치시","남자","계","틈틈이 일하였음","","1567",
"세종특별자치시","남자","계","일시 휴직","","622",
"세종특별자치시","남자","계","일하지 않았음","","23332",
"세종특별자치시","남자","계","미상","","",
"세종특별자치시","남자","초등학교","15세 이상 인구","","5094",
"세종특별자치시","남자","초등학교","일하였음-계","","2654",
"세종특별자치시","남자","초등학교","주로 일하였음","","2509",
"세종특별자치시","남자","초등학교","틈틈이 일하였음","","122",
"세종특별자치시","남자","초등학교","일시 휴직","","23",
"세종특별자치시","남자","초등학교","일하지 않았음","","2440",
"세종특별자치시","남자","초등학교","미상","","",
"세종특별자치시","남자","중학교","15세 이상 인구","","4993",
"세종특별자치시","남자","중학교","일하였음-계","","2922",
"세종특별자치시","남자","중학교","주로 일하였음","","2826",
"세종특별자치시","남자","중학교","틈틈이 일하였음","","49",
"세종특별자치시","남자","중학교","일시 휴직","","47",
"세종특별자치시","남자","중학교","일하지 않았음","","2071",
"세종특별자치시","남자","중학교","미상","","",
"세종특별자치시","남자","고등학교","15세 이상 인구","","20193",
"세종특별자치시","남자","고등학교","일하였음-계","","13917",
"세종특별자치시","남자","고등학교","주로 일하였음","","13538",
"세종특별자치시","남자","고등학교","틈틈이 일하였음","","209",
"세종특별자치시","남자","고등학교","일시 휴직","","170",
"세종특별자치시","남자","고등학교","일하지 않았음","","6276",
"세종특별자치시","남자","고등학교","미상","","",
"세종특별자치시","남자","대학(4년제 미만)","15세 이상 인구","","9521",
"세종특별자치시","남자","대학(4년제 미만)","일하였음-계","","7356",
"세종특별자치시","남자","대학(4년제 미만)","주로 일하였음","","7063",
"세종특별자치시","남자","대학(4년제 미만)","틈틈이 일하였음","","220",
"세종특별자치시","남자","대학(4년제 미만)","일시 휴직","","73",
"세종특별자치시","남자","대학(4년제 미만)","일하지 않았음","","2165",
"세종특별자치시","남자","대학(4년제 미만)","미상","","",
"세종특별자치시","남자","대학교(4년제 이상)","15세 이상 인구","","29236",
"세종특별자치시","남자","대학교(4년제 이상)","일하였음-계","","20453",
"세종특별자치시","남자","대학교(4년제 이상)","주로 일하였음","","19467",
"세종특별자치시","남자","대학교(4년제 이상)","틈틈이 일하였음","","785",
"세종특별자치시","남자","대학교(4년제 이상)","일시 휴직","","201",
"세종특별자치시","남자","대학교(4년제 이상)","일하지 않았음","","8783",
"세종특별자치시","남자","대학교(4년제 이상)","미상","","",
"세종특별자치시","남자","대학원석사과정","15세 이상 인구","","6865",
"세종특별자치시","남자","대학원석사과정","일하였음-계","","6108",
"세종특별자치시","남자","대학원석사과정","주로 일하였음","","5908",
"세종특별자치시","남자","대학원석사과정","틈틈이 일하였음","","113",
"세종특별자치시","남자","대학원석사과정","일시 휴직","","87",
"세종특별자치시","남자","대학원석사과정","일하지 않았음","","757",
"세종특별자치시","남자","대학원석사과정","미상","","",
"세종특별자치시","남자","대학원박사과정","15세 이상 인구","","2951",
"세종특별자치시","남자","대학원박사과정","일하였음-계","","2749",
"세종특별자치시","남자","대학원박사과정","주로 일하였음","","2676",
"세종특별자치시","남자","대학원박사과정","틈틈이 일하였음","","59",
"세종특별자치시","남자","대학원박사과정","일시 휴직","","14",
"세종특별자치시","남자","대학원박사과정","일하지 않았음","","202",
"세종특별자치시","남자","대학원박사과정","미상","","",
"세종특별자치시","남자","안 받았음(미취학 포함)","15세 이상 인구","","890",
"세종특별자치시","남자","안 받았음(미취학 포함)","일하였음-계","","252",
"세종특별자치시","남자","안 받았음(미취학 포함)","주로 일하였음","","235",
"세종특별자치시","남자","안 받았음(미취학 포함)","틈틈이 일하였음","","10",
"세종특별자치시","남자","안 받았음(미취학 포함)","일시 휴직","","7",
"세종특별자치시","남자","안 받았음(미취학 포함)","일하지 않았음","","638",
"세종특별자치시","남자","안 받았음(미취학 포함)","미상","","",
"세종특별자치시","여자","계","15세 이상 인구","","80275",
"세종특별자치시","여자","계","일하였음-계","","37681",
"세종특별자치시","여자","계","주로 일하였음","","32609",
"세종특별자치시","여자","계","틈틈이 일하였음","","3718",
"세종특별자치시","여자","계","일시 휴직","","1354",
"세종특별자치시","여자","계","일하지 않았음","","42594",
"세종특별자치시","여자","계","미상","","",
"세종특별자치시","여자","초등학교","15세 이상 인구","","8966",
"세종특별자치시","여자","초등학교","일하였음-계","","3039",
"세종특별자치시","여자","초등학교","주로 일하였음","","2698",
"세종특별자치시","여자","초등학교","틈틈이 일하였음","","329",
"세종특별자치시","여자","초등학교","일시 휴직","","12",
"세종특별자치시","여자","초등학교","일하지 않았음","","5927",
"세종특별자치시","여자","초등학교","미상","","",
"세종특별자치시","여자","중학교","15세 이상 인구","","5635",
"세종특별자치시","여자","중학교","일하였음-계","","2318",
"세종특별자치시","여자","중학교","주로 일하였음","","2071",
"세종특별자치시","여자","중학교","틈틈이 일하였음","","231",
"세종특별자치시","여자","중학교","일시 휴직","","16",
"세종특별자치시","여자","중학교","일하지 않았음","","3317",
"세종특별자치시","여자","중학교","미상","","",
"세종특별자치시","여자","고등학교","15세 이상 인구","","20657",
"세종특별자치시","여자","고등학교","일하였음-계","","9547",
"세종특별자치시","여자","고등학교","주로 일하였음","","8759",
"세종특별자치시","여자","고등학교","틈틈이 일하였음","","651",
"세종특별자치시","여자","고등학교","일시 휴직","","137",
"세종특별자치시","여자","고등학교","일하지 않았음","","11110",
"세종특별자치시","여자","고등학교","미상","","",
"세종특별자치시","여자","대학(4년제 미만)","15세 이상 인구","","10921",
"세종특별자치시","여자","대학(4년제 미만)","일하였음-계","","5529",
"세종특별자치시","여자","대학(4년제 미만)","주로 일하였음","","4820",
"세종특별자치시","여자","대학(4년제 미만)","틈틈이 일하였음","","559",
"세종특별자치시","여자","대학(4년제 미만)","일시 휴직","","150",
"세종특별자치시","여자","대학(4년제 미만)","일하지 않았음","","5392",
"세종특별자치시","여자","대학(4년제 미만)","미상","","",
"세종특별자치시","여자","대학교(4년제 이상)","15세 이상 인구","","24329",
"세종특별자치시","여자","대학교(4년제 이상)","일하였음-계","","12343",
"세종특별자치시","여자","대학교(4년제 이상)","주로 일하였음","","10035",
"세종특별자치시","여자","대학교(4년제 이상)","틈틈이 일하였음","","1512",
"세종특별자치시","여자","대학교(4년제 이상)","일시 휴직","","796",
"세종특별자치시","여자","대학교(4년제 이상)","일하지 않았음","","11986",
"세종특별자치시","여자","대학교(4년제 이상)","미상","","",
"세종특별자치시","여자","대학원석사과정","15세 이상 인구","","4736",
"세종특별자치시","여자","대학원석사과정","일하였음-계","","3363",
"세종특별자치시","여자","대학원석사과정","주로 일하였음","","2880",
"세종특별자치시","여자","대학원석사과정","틈틈이 일하였음","","286",
"세종특별자치시","여자","대학원석사과정","일시 휴직","","197",
"세종특별자치시","여자","대학원석사과정","일하지 않았음","","1373",
"세종특별자치시","여자","대학원석사과정","미상","","",
"세종특별자치시","여자","대학원박사과정","15세 이상 인구","","1165",
"세종특별자치시","여자","대학원박사과정","일하였음-계","","953",
"세종특별자치시","여자","대학원박사과정","주로 일하였음","","834",
"세종특별자치시","여자","대학원박사과정","틈틈이 일하였음","","76",
"세종특별자치시","여자","대학원박사과정","일시 휴직","","43",
"세종특별자치시","여자","대학원박사과정","일하지 않았음","","212",
"세종특별자치시","여자","대학원박사과정","미상","","",
"세종특별자치시","여자","안 받았음(미취학 포함)","15세 이상 인구","","3866",
"세종특별자치시","여자","안 받았음(미취학 포함)","일하였음-계","","589",
"세종특별자치시","여자","안 받았음(미취학 포함)","주로 일하였음","","512",
"세종특별자치시","여자","안 받았음(미취학 포함)","틈틈이 일하였음","","74",
"세종특별자치시","여자","안 받았음(미취학 포함)","일시 휴직","","3",
"세종특별자치시","여자","안 받았음(미취학 포함)","일하지 않았음","","3277",
"세종특별자치시","여자","안 받았음(미취학 포함)","미상","","",
"동부","계","계","15세 이상 인구","","72219",
"동부","계","계","일하였음-계","","45865",
"동부","계","계","주로 일하였음","","42124",
"동부","계","계","틈틈이 일하였음","","2262",
"동부","계","계","일시 휴직","","1479",
"동부","계","계","일하지 않았음","","26354",
"동부","계","계","미상","","",
"동부","계","초등학교","15세 이상 인구","","1905",
"동부","계","초등학교","일하였음-계","","364",
"동부","계","초등학교","주로 일하였음","","327",
"동부","계","초등학교","틈틈이 일하였음","","37",
"동부","계","초등학교","일시 휴직","","",
"동부","계","초등학교","일하지 않았음","","1541",
"동부","계","초등학교","미상","","",
"동부","계","중학교","15세 이상 인구","","2444",
"동부","계","중학교","일하였음-계","","577",
"동부","계","중학교","주로 일하였음","","518",
"동부","계","중학교","틈틈이 일하였음","","50",
"동부","계","중학교","일시 휴직","","9",
"동부","계","중학교","일하지 않았음","","1867",
"동부","계","중학교","미상","","",
"동부","계","고등학교","15세 이상 인구","","13894",
"동부","계","고등학교","일하였음-계","","5867",
"동부","계","고등학교","주로 일하였음","","5402",
"동부","계","고등학교","틈틈이 일하였음","","342",
"동부","계","고등학교","일시 휴직","","123",
"동부","계","고등학교","일하지 않았음","","8027",
"동부","계","고등학교","미상","","",
"동부","계","대학(4년제 미만)","15세 이상 인구","","9902",
"동부","계","대학(4년제 미만)","일하였음-계","","6277",
"동부","계","대학(4년제 미만)","주로 일하였음","","5757",
"동부","계","대학(4년제 미만)","틈틈이 일하였음","","355",
"동부","계","대학(4년제 미만)","일시 휴직","","165",
"동부","계","대학(4년제 미만)","일하지 않았음","","3625",
"동부","계","대학(4년제 미만)","미상","","",
"동부","계","대학교(4년제 이상)","15세 이상 인구","","30944",
"동부","계","대학교(4년제 이상)","일하였음-계","","21976",
"동부","계","대학교(4년제 이상)","주로 일하였음","","20033",
"동부","계","대학교(4년제 이상)","틈틈이 일하였음","","1065",
"동부","계","대학교(4년제 이상)","일시 휴직","","878",
"동부","계","대학교(4년제 이상)","일하지 않았음","","8968",
"동부","계","대학교(4년제 이상)","미상","","",
"동부","계","대학원석사과정","15세 이상 인구","","9162",
"동부","계","대학원석사과정","일하였음-계","","7609",
"동부","계","대학원석사과정","주로 일하였음","","7039",
"동부","계","대학원석사과정","틈틈이 일하였음","","310",
"동부","계","대학원석사과정","일시 휴직","","260",
"동부","계","대학원석사과정","일하지 않았음","","1553",
"동부","계","대학원석사과정","미상","","",
"동부","계","대학원박사과정","15세 이상 인구","","3392",
"동부","계","대학원박사과정","일하였음-계","","3128",
"동부","계","대학원박사과정","주로 일하였음","","2986",
"동부","계","대학원박사과정","틈틈이 일하였음","","98",
"동부","계","대학원박사과정","일시 휴직","","44",
"동부","계","대학원박사과정","일하지 않았음","","264",
"동부","계","대학원박사과정","미상","","",
"동부","계","안 받았음(미취학 포함)","15세 이상 인구","","576",
"동부","계","안 받았음(미취학 포함)","일하였음-계","","67",
"동부","계","안 받았음(미취학 포함)","주로 일하였음","","62",
"동부","계","안 받았음(미취학 포함)","틈틈이 일하였음","","5",
"동부","계","안 받았음(미취학 포함)","일시 휴직","","",
"동부","계","안 받았음(미취학 포함)","일하지 않았음","","509",
"동부","계","안 받았음(미취학 포함)","미상","","",
"동부","남자","계","15세 이상 인구","","34299",
"동부","남자","계","일하였음-계","","27468",
