"행정구역(시군구)별","거주외국인별","연령별","항목","단위","2019 년",
"수성구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"수성구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"수성구","결혼이민자","20 - 29세","외국인 주민현항","명","106",
"수성구","결혼이민자","30 - 39세","외국인 주민현항","명","189",
"수성구","결혼이민자","40 - 49세","외국인 주민현항","명","103",
"수성구","결혼이민자","50 - 59세","외국인 주민현항","명","56",
"수성구","결혼이민자","60 - 69세","외국인 주민현항","명","17",
"수성구","결혼이민자","70세 이상","외국인 주민현항","명","*",
"수성구","유학생","계","외국인 주민현항","명","283",
"수성구","유학생","0 - 9세","외국인 주민현항","명","*",
"수성구","유학생","10 - 19세","외국인 주민현항","명","53",
"수성구","유학생","20 - 29세","외국인 주민현항","명","228",
"수성구","유학생","30 - 39세","외국인 주민현항","명","*",
"수성구","유학생","40 - 49세","외국인 주민현항","명","*",
"수성구","유학생","50 - 59세","외국인 주민현항","명","*",
"수성구","유학생","60 - 69세","외국인 주민현항","명","*",
"수성구","유학생","70세 이상","외국인 주민현항","명","*",
"수성구","외국국적동포","계","외국인 주민현항","명","250",
"수성구","외국국적동포","0 - 9세","외국인 주민현항","명","*",
"수성구","외국국적동포","10 - 19세","외국인 주민현항","명","*",
"수성구","외국국적동포","20 - 29세","외국인 주민현항","명","19",
"수성구","외국국적동포","30 - 39세","외국인 주민현항","명","33",
"수성구","외국국적동포","40 - 49세","외국인 주민현항","명","48",
"수성구","외국국적동포","50 - 59세","외국인 주민현항","명","68",
"수성구","외국국적동포","60 - 69세","외국인 주민현항","명","58",
"수성구","외국국적동포","70세 이상","외국인 주민현항","명","20",
"수성구","기타외국인","계","외국인 주민현항","명","1052",
"수성구","기타외국인","0 - 9세","외국인 주민현항","명","81",
"수성구","기타외국인","10 - 19세","외국인 주민현항","명","63",
"수성구","기타외국인","20 - 29세","외국인 주민현항","명","275",
"수성구","기타외국인","30 - 39세","외국인 주민현항","명","260",
"수성구","기타외국인","40 - 49세","외국인 주민현항","명","171",
"수성구","기타외국인","50 - 59세","외국인 주민현항","명","141",
"수성구","기타외국인","60 - 69세","외국인 주민현항","명","43",
"수성구","기타외국인","70세 이상","외국인 주민현항","명","18",
"수성구","한국국적을 취득한 자","계","외국인 주민현항","명","310",
"수성구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","15",
"수성구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","6",
"수성구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","52",
"수성구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","101",
"수성구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","77",
"수성구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","40",
"수성구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","13",
"수성구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","6",
"달서구","합계","계","외국인 주민현항","명","14456",
"달서구","합계","0 - 9세","외국인 주민현항","명","292",
"달서구","합계","10 - 19세","외국인 주민현항","명","1100",
"달서구","합계","20 - 29세","외국인 주민현항","명","4911",
"달서구","합계","30 - 39세","외국인 주민현항","명","4407",
"달서구","합계","40 - 49세","외국인 주민현항","명","2250",
"달서구","합계","50 - 59세","외국인 주민현항","명","1081",
"달서구","합계","60 - 69세","외국인 주민현항","명","324",
"달서구","합계","70세 이상","외국인 주민현항","명","91",
"달서구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","13313",
"달서구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","260",
"달서구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","1073",
"달서구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","4751",
"달서구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","3860",
"달서구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","1992",
"달서구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","992",
"달서구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","306",
"달서구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","79",
"달서구","외국인근로자","계","외국인 주민현항","명","3287",
"달서구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"달서구","외국인근로자","10 - 19세","외국인 주민현항","명","5",
"달서구","외국인근로자","20 - 29세","외국인 주민현항","명","1240",
"달서구","외국인근로자","30 - 39세","외국인 주민현항","명","1417",
"달서구","외국인근로자","40 - 49세","외국인 주민현항","명","468",
"달서구","외국인근로자","50 - 59세","외국인 주민현항","명","142",
"달서구","외국인근로자","60 - 69세","외국인 주민현항","명","14",
"달서구","외국인근로자","70세 이상","외국인 주민현항","명","*",
"달서구","결혼이민자","계","외국인 주민현항","명","1402",
"달서구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"달서구","결혼이민자","10 - 19세","외국인 주민현항","명","12",
"달서구","결혼이민자","20 - 29세","외국인 주민현항","명","351",
"달서구","결혼이민자","30 - 39세","외국인 주민현항","명","622",
"달서구","결혼이민자","40 - 49세","외국인 주민현항","명","277",
"달서구","결혼이민자","50 - 59세","외국인 주민현항","명","120",
"달서구","결혼이민자","60 - 69세","외국인 주민현항","명","17",
"달서구","결혼이민자","70세 이상","외국인 주민현항","명","*",
"달서구","유학생","계","외국인 주민현항","명","2970",
"달서구","유학생","0 - 9세","외국인 주민현항","명","*",
"달서구","유학생","10 - 19세","외국인 주민현항","명","913",
"달서구","유학생","20 - 29세","외국인 주민현항","명","1915",
"달서구","유학생","30 - 39세","외국인 주민현항","명","137",
"달서구","유학생","40 - 49세","외국인 주민현항","명","*",
"달서구","유학생","50 - 59세","외국인 주민현항","명","*",
"달서구","유학생","60 - 69세","외국인 주민현항","명","*",
"달서구","유학생","70세 이상","외국인 주민현항","명","*",
"달서구","외국국적동포","계","외국인 주민현항","명","616",
"달서구","외국국적동포","0 - 9세","외국인 주민현항","명","*",
"달서구","외국국적동포","10 - 19세","외국인 주민현항","명","*",
"달서구","외국국적동포","20 - 29세","외국인 주민현항","명","51",
"달서구","외국국적동포","30 - 39세","외국인 주민현항","명","117",
"달서구","외국국적동포","40 - 49세","외국인 주민현항","명","144",
"달서구","외국국적동포","50 - 59세","외국인 주민현항","명","138",
"달서구","외국국적동포","60 - 69세","외국인 주민현항","명","125",
"달서구","외국국적동포","70세 이상","외국인 주민현항","명","36",
"달서구","기타외국인","계","외국인 주민현항","명","5038",
"달서구","기타외국인","0 - 9세","외국인 주민현항","명","256",
"달서구","기타외국인","10 - 19세","외국인 주민현항","명","142",
"달서구","기타외국인","20 - 29세","외국인 주민현항","명","1194",
"달서구","기타외국인","30 - 39세","외국인 주민현항","명","1567",
"달서구","기타외국인","40 - 49세","외국인 주민현항","명","1099",
"달서구","기타외국인","50 - 59세","외국인 주민현항","명","591",
"달서구","기타외국인","60 - 69세","외국인 주민현항","명","150",
"달서구","기타외국인","70세 이상","외국인 주민현항","명","39",
"달서구","한국국적을 취득한 자","계","외국인 주민현항","명","1143",
"달서구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","32",
"달서구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","27",
"달서구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","160",
"달서구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","547",
"달서구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","258",
"달서구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","89",
"달서구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","18",
"달서구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","12",
"달성군","합계","계","외국인 주민현항","명","9442",
"달성군","합계","0 - 9세","외국인 주민현항","명","341",
"달성군","합계","10 - 19세","외국인 주민현항","명","216",
"달성군","합계","20 - 29세","외국인 주민현항","명","2396",
"달성군","합계","30 - 39세","외국인 주민현항","명","3586",
"달성군","합계","40 - 49세","외국인 주민현항","명","1683",
"달성군","합계","50 - 59세","외국인 주민현항","명","859",
"달성군","합계","60 - 69세","외국인 주민현항","명","297",
"달성군","합계","70세 이상","외국인 주민현항","명","64",
"달성군","한국국적을 가지지 않은 자","계","외국인 주민현항","명","8702",
"달성군","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","316",
"달성군","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","191",
"달성군","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","2304",
"달성군","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","3213",
"달성군","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","1530",
"달성군","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","807",
"달성군","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","279",
"달성군","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","62",
"달성군","외국인근로자","계","외국인 주민현항","명","3164",
"달성군","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"달성군","외국인근로자","10 - 19세","외국인 주민현항","명","8",
"달성군","외국인근로자","20 - 29세","외국인 주민현항","명","1118",
"달성군","외국인근로자","30 - 39세","외국인 주민현항","명","1431",
"달성군","외국인근로자","40 - 49세","외국인 주민현항","명","433",
"달성군","외국인근로자","50 - 59세","외국인 주민현항","명","164",
"달성군","외국인근로자","60 - 69세","외국인 주민현항","명","9",
"달성군","외국인근로자","70세 이상","외국인 주민현항","명","*",
"달성군","결혼이민자","계","외국인 주민현항","명","903",
"달성군","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"달성군","결혼이민자","10 - 19세","외국인 주민현항","명","6",
"달성군","결혼이민자","20 - 29세","외국인 주민현항","명","236",
"달성군","결혼이민자","30 - 39세","외국인 주민현항","명","414",
"달성군","결혼이민자","40 - 49세","외국인 주민현항","명","164",
"달성군","결혼이민자","50 - 59세","외국인 주민현항","명","72",
"달성군","결혼이민자","60 - 69세","외국인 주민현항","명","8",
"달성군","결혼이민자","70세 이상","외국인 주민현항","명","*",
"달성군","유학생","계","외국인 주민현항","명","90",
"달성군","유학생","0 - 9세","외국인 주민현항","명","*",
"달성군","유학생","10 - 19세","외국인 주민현항","명","*",
"달성군","유학생","20 - 29세","외국인 주민현항","명","68",
"달성군","유학생","30 - 39세","외국인 주민현항","명","19",
"달성군","유학생","40 - 49세","외국인 주민현항","명","*",
"달성군","유학생","50 - 59세","외국인 주민현항","명","*",
"달성군","유학생","60 - 69세","외국인 주민현항","명","*",
"달성군","유학생","70세 이상","외국인 주민현항","명","*",
"달성군","외국국적동포","계","외국인 주민현항","명","1249",
"달성군","외국국적동포","0 - 9세","외국인 주민현항","명","*",
"달성군","외국국적동포","10 - 19세","외국인 주민현항","명","13",
"달성군","외국국적동포","20 - 29세","외국인 주민현항","명","144",
"달성군","외국국적동포","30 - 39세","외국인 주민현항","명","341",
"달성군","외국국적동포","40 - 49세","외국인 주민현항","명","306",
"달성군","외국국적동포","50 - 59세","외국인 주민현항","명","229",
"달성군","외국국적동포","60 - 69세","외국인 주민현항","명","173",
"달성군","외국국적동포","70세 이상","외국인 주민현항","명","42",
"달성군","기타외국인","계","외국인 주민현항","명","3296",
"달성군","기타외국인","0 - 9세","외국인 주민현항","명","315",
"달성군","기타외국인","10 - 19세","외국인 주민현항","명","161",
"달성군","기타외국인","20 - 29세","외국인 주민현항","명","738",
"달성군","기타외국인","30 - 39세","외국인 주민현항","명","1008",
"달성군","기타외국인","40 - 49세","외국인 주민현항","명","627",
"달성군","기타외국인","50 - 59세","외국인 주민현항","명","342",
"달성군","기타외국인","60 - 69세","외국인 주민현항","명","89",
"달성군","기타외국인","70세 이상","외국인 주민현항","명","16",
"달성군","한국국적을 취득한 자","계","외국인 주민현항","명","740",
"달성군","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","25",
"달성군","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","25",
"달성군","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","92",
"달성군","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","373",
"달성군","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","153",
"달성군","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","52",
"달성군","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","18",
"달성군","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","*",
"인천광역시","합계","계","외국인 주민현항","명","114840",
"인천광역시","합계","0 - 9세","외국인 주민현항","명","6545",
"인천광역시","합계","10 - 19세","외국인 주민현항","명","4934",
"인천광역시","합계","20 - 29세","외국인 주민현항","명","23077",
"인천광역시","합계","30 - 39세","외국인 주민현항","명","32993",
"인천광역시","합계","40 - 49세","외국인 주민현항","명","20304",
"인천광역시","합계","50 - 59세","외국인 주민현항","명","15961",
"인천광역시","합계","60 - 69세","외국인 주민현항","명","8737",
"인천광역시","합계","70세 이상","외국인 주민현항","명","2289",
"인천광역시","한국국적을 가지지 않은 자","계","외국인 주민현항","명","100174",
"인천광역시","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","6067",
"인천광역시","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","4443",
"인천광역시","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","21726",
"인천광역시","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","28732",
"인천광역시","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","16485",
"인천광역시","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","13266",
"인천광역시","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","7458",
"인천광역시","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","1997",
"인천광역시","외국인근로자","계","외국인 주민현항","명","25209",
"인천광역시","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"인천광역시","외국인근로자","10 - 19세","외국인 주민현항","명","44",
"인천광역시","외국인근로자","20 - 29세","외국인 주민현항","명","6827",
"인천광역시","외국인근로자","30 - 39세","외국인 주민현항","명","9549",
"인천광역시","외국인근로자","40 - 49세","외국인 주민현항","명","4426",
"인천광역시","외국인근로자","50 - 59세","외국인 주민현항","명","3914",
"인천광역시","외국인근로자","60 - 69세","외국인 주민현항","명","430",
"인천광역시","외국인근로자","70세 이상","외국인 주민현항","명","19",
"인천광역시","결혼이민자","계","외국인 주민현항","명","11545",
"인천광역시","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"인천광역시","결혼이민자","10 - 19세","외국인 주민현항","명","44",
"인천광역시","결혼이민자","20 - 29세","외국인 주민현항","명","1952",
"인천광역시","결혼이민자","30 - 39세","외국인 주민현항","명","4323",
"인천광역시","결혼이민자","40 - 49세","외국인 주민현항","명","2637",
"인천광역시","결혼이민자","50 - 59세","외국인 주민현항","명","1928",
"인천광역시","결혼이민자","60 - 69세","외국인 주민현항","명","590",
"인천광역시","결혼이민자","70세 이상","외국인 주민현항","명","71",
"인천광역시","유학생","계","외국인 주민현항","명","6068",
"인천광역시","유학생","0 - 9세","외국인 주민현항","명","*",
"인천광역시","유학생","10 - 19세","외국인 주민현항","명","1861",
"인천광역시","유학생","20 - 29세","외국인 주민현항","명","3805",
"인천광역시","유학생","30 - 39세","외국인 주민현항","명","354",
"인천광역시","유학생","40 - 49세","외국인 주민현항","명","40",
"인천광역시","유학생","50 - 59세","외국인 주민현항","명","7",
"인천광역시","유학생","60 - 69세","외국인 주민현항","명","*",
"인천광역시","유학생","70세 이상","외국인 주민현항","명","*",
"인천광역시","외국국적동포","계","외국인 주민현항","명","18942",
"인천광역시","외국국적동포","0 - 9세","외국인 주민현항","명","71",
"인천광역시","외국국적동포","10 - 19세","외국인 주민현항","명","137",
"인천광역시","외국국적동포","20 - 29세","외국인 주민현항","명","2338",
"인천광역시","외국국적동포","30 - 39세","외국인 주민현항","명","4554",
"인천광역시","외국국적동포","40 - 49세","외국인 주민현항","명","2849",
"인천광역시","외국국적동포","50 - 59세","외국인 주민현항","명","2849",
"인천광역시","외국국적동포","60 - 69세","외국인 주민현항","명","4753",
"인천광역시","외국국적동포","70세 이상","외국인 주민현항","명","1391",
"인천광역시","기타외국인","계","외국인 주민현항","명","38410",
"인천광역시","기타외국인","0 - 9세","외국인 주민현항","명","5996",
"인천광역시","기타외국인","10 - 19세","외국인 주민현항","명","2357",
"인천광역시","기타외국인","20 - 29세","외국인 주민현항","명","6804",
"인천광역시","기타외국인","30 - 39세","외국인 주민현항","명","9952",
"인천광역시","기타외국인","40 - 49세","외국인 주민현항","명","6533",
"인천광역시","기타외국인","50 - 59세","외국인 주민현항","명","4568",
"인천광역시","기타외국인","60 - 69세","외국인 주민현항","명","1684",
"인천광역시","기타외국인","70세 이상","외국인 주민현항","명","516",
"인천광역시","한국국적을 취득한 자","계","외국인 주민현항","명","14666",
"인천광역시","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","478",
"인천광역시","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","491",
"인천광역시","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","1351",
"인천광역시","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","4261",
"인천광역시","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","3819",
"인천광역시","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","2695",
"인천광역시","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","1279",
"인천광역시","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","292",
"중구","합계","계","외국인 주민현항","명","6013",
"중구","합계","0 - 9세","외국인 주민현항","명","229",
"중구","합계","10 - 19세","외국인 주민현항","명","243",
"중구","합계","20 - 29세","외국인 주민현항","명","1000",
"중구","합계","30 - 39세","외국인 주민현항","명","1581",
"중구","합계","40 - 49세","외국인 주민현항","명","1169",
"중구","합계","50 - 59세","외국인 주민현항","명","958",
"중구","합계","60 - 69세","외국인 주민현항","명","619",
"중구","합계","70세 이상","외국인 주민현항","명","214",
"중구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","5251",
"중구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","207",
"중구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","204",
"중구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","921",
"중구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","1386",
"중구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","976",
"중구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","816",
"중구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","547",
"중구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","194",
"중구","외국인근로자","계","외국인 주민현항","명","1092",
"중구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"중구","외국인근로자","10 - 19세","외국인 주민현항","명","*",
"중구","외국인근로자","20 - 29세","외국인 주민현항","명","258",
"중구","외국인근로자","30 - 39세","외국인 주민현항","명","355",
"중구","외국인근로자","40 - 49세","외국인 주민현항","명","230",
"중구","외국인근로자","50 - 59세","외국인 주민현항","명","217",
"중구","외국인근로자","60 - 69세","외국인 주민현항","명","26",
"중구","외국인근로자","70세 이상","외국인 주민현항","명","*",
"중구","결혼이민자","계","외국인 주민현항","명","695",
"중구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"중구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"중구","결혼이민자","20 - 29세","외국인 주민현항","명","113",
"중구","결혼이민자","30 - 39세","외국인 주민현항","명","253",
"중구","결혼이민자","40 - 49세","외국인 주민현항","명","149",
"중구","결혼이민자","50 - 59세","외국인 주민현항","명","130",
"중구","결혼이민자","60 - 69세","외국인 주민현항","명","39",
"중구","결혼이민자","70세 이상","외국인 주민현항","명","8",
"중구","유학생","계","외국인 주민현항","명","37",
"중구","유학생","0 - 9세","외국인 주민현항","명","*",
"중구","유학생","10 - 19세","외국인 주민현항","명","*",
"중구","유학생","20 - 29세","외국인 주민현항","명","26",
"중구","유학생","30 - 39세","외국인 주민현항","명","6",
"중구","유학생","40 - 49세","외국인 주민현항","명","*",
"중구","유학생","50 - 59세","외국인 주민현항","명","*",
"중구","유학생","60 - 69세","외국인 주민현항","명","*",
"중구","유학생","70세 이상","외국인 주민현항","명","*",
"중구","외국국적동포","계","외국인 주민현항","명","891",
"중구","외국국적동포","0 - 9세","외국인 주민현항","명","*",
"중구","외국국적동포","10 - 19세","외국인 주민현항","명","6",
"중구","외국국적동포","20 - 29세","외국인 주민현항","명","79",
"중구","외국국적동포","30 - 39세","외국인 주민현항","명","154",
"중구","외국국적동포","40 - 49세","외국인 주민현항","명","145",
"중구","외국국적동포","50 - 59세","외국인 주민현항","명","156",
"중구","외국국적동포","60 - 69세","외국인 주민현항","명","278",
"중구","외국국적동포","70세 이상","외국인 주민현항","명","73",
"중구","기타외국인","계","외국인 주민현항","명","2536",
"중구","기타외국인","0 - 9세","외국인 주민현항","명","207",
"중구","기타외국인","10 - 19세","외국인 주민현항","명","188",
"중구","기타외국인","20 - 29세","외국인 주민현항","명","445",
"중구","기타외국인","30 - 39세","외국인 주민현항","명","618",
"중구","기타외국인","40 - 49세","외국인 주민현항","명","451",
"중구","기타외국인","50 - 59세","외국인 주민현항","명","312",
"중구","기타외국인","60 - 69세","외국인 주민현항","명","204",
"중구","기타외국인","70세 이상","외국인 주민현항","명","111",
"중구","한국국적을 취득한 자","계","외국인 주민현항","명","762",
"중구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","22",
"중구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","39",
"중구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","79",
"중구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","195",
"중구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","193",
"중구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","142",
"중구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","72",
"중구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","20",
"동구","합계","계","외국인 주민현항","명","1521",
"동구","합계","0 - 9세","외국인 주민현항","명","51",
"동구","합계","10 - 19세","외국인 주민현항","명","44",
"동구","합계","20 - 29세","외국인 주민현항","명","277",
"동구","합계","30 - 39세","외국인 주민현항","명","399",
"동구","합계","40 - 49세","외국인 주민현항","명","311",
"동구","합계","50 - 59세","외국인 주민현항","명","263",
"동구","합계","60 - 69세","외국인 주민현항","명","135",
"동구","합계","70세 이상","외국인 주민현항","명","41",
"동구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","1259",
"동구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","40",
"동구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","34",
"동구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","251",
"동구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","332",
"동구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","231",
"동구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","217",
"동구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","118",
"동구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","36",
"동구","외국인근로자","계","외국인 주민현항","명","369",
"동구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"동구","외국인근로자","10 - 19세","외국인 주민현항","명","*",
"동구","외국인근로자","20 - 29세","외국인 주민현항","명","129",
"동구","외국인근로자","30 - 39세","외국인 주민현항","명","116",
"동구","외국인근로자","40 - 49세","외국인 주민현항","명","61",
"동구","외국인근로자","50 - 59세","외국인 주민현항","명","54",
"동구","외국인근로자","60 - 69세","외국인 주민현항","명","6",
"동구","외국인근로자","70세 이상","외국인 주민현항","명","*",
"동구","결혼이민자","계","외국인 주민현항","명","206",
"동구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"동구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"동구","결혼이민자","20 - 29세","외국인 주민현항","명","41",
"동구","결혼이민자","30 - 39세","외국인 주민현항","명","63",
"동구","결혼이민자","40 - 49세","외국인 주민현항","명","44",
"동구","결혼이민자","50 - 59세","외국인 주민현항","명","42",
"동구","결혼이민자","60 - 69세","외국인 주민현항","명","14",
"동구","결혼이민자","70세 이상","외국인 주민현항","명","*",
"동구","유학생","계","외국인 주민현항","명","*",
"동구","유학생","0 - 9세","외국인 주민현항","명","*",
"동구","유학생","10 - 19세","외국인 주민현항","명","*",
"동구","유학생","20 - 29세","외국인 주민현항","명","*",
"동구","유학생","30 - 39세","외국인 주민현항","명","*",
"동구","유학생","40 - 49세","외국인 주민현항","명","*",
"동구","유학생","50 - 59세","외국인 주민현항","명","*",
"동구","유학생","60 - 69세","외국인 주민현항","명","*",
"동구","유학생","70세 이상","외국인 주민현항","명","*",
"동구","외국국적동포","계","외국인 주민현항","명","185",
"동구","외국국적동포","0 - 9세","외국인 주민현항","명","*",
"동구","외국국적동포","10 - 19세","외국인 주민현항","명","*",
"동구","외국국적동포","20 - 29세","외국인 주민현항","명","8",
"동구","외국국적동포","30 - 39세","외국인 주민현항","명","27",
"동구","외국국적동포","40 - 49세","외국인 주민현항","명","22",
"동구","외국국적동포","50 - 59세","외국인 주민현항","명","34",
"동구","외국국적동포","60 - 69세","외국인 주민현항","명","70",
"동구","외국국적동포","70세 이상","외국인 주민현항","명","23",
"동구","기타외국인","계","외국인 주민현항","명","497",
"동구","기타외국인","0 - 9세","외국인 주민현항","명","39",
"동구","기타외국인","10 - 19세","외국인 주민현항","명","29",
"동구","기타외국인","20 - 29세","외국인 주민현항","명","71",
"동구","기타외국인","30 - 39세","외국인 주민현항","명","126",
"동구","기타외국인","40 - 49세","외국인 주민현항","명","104",
"동구","기타외국인","50 - 59세","외국인 주민현항","명","87",
"동구","기타외국인","60 - 69세","외국인 주민현항","명","28",
"동구","기타외국인","70세 이상","외국인 주민현항","명","13",
"동구","한국국적을 취득한 자","계","외국인 주민현항","명","262",
"동구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","11",
"동구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","10",
"동구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","26",
"동구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","67",
"동구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","80",
"동구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","46",
"동구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","17",
"동구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","5",
"연수구","합계","계","외국인 주민현항","명","19810",
"연수구","합계","0 - 9세","외국인 주민현항","명","2316",
"연수구","합계","10 - 19세","외국인 주민현항","명","2021",
"연수구","합계","20 - 29세","외국인 주민현항","명","4630",
"연수구","합계","30 - 39세","외국인 주민현항","명","5141",
"연수구","합계","40 - 49세","외국인 주민현항","명","3170",
"연수구","합계","50 - 59세","외국인 주민현항","명","1666",
"연수구","합계","60 - 69세","외국인 주민현항","명","682",
"연수구","합계","70세 이상","외국인 주민현항","명","184",
"연수구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","18884",
"연수구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","2279",
"연수구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","1979",
"연수구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","4550",
"연수구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","4819",
"연수구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","2897",
"연수구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","1558",
