"성별","연령(5세)별","직업별(신)",2017
"여자","20 - 24세","기능원 및 관련기능종사자",3
"여자","20 - 24세","장치,기계조작 및 조립종사자",0
"여자","20 - 24세","단순노무 종사자",4
"여자","20 - 24세","무직, 가사, 학생",245
"여자","20 - 24세","기타",26
"여자","25 - 29세","계",431
"여자","25 - 29세","관리자",5
"여자","25 - 29세","전문가 및 관련 종사자",43
"여자","25 - 29세","전문가",-
"여자","25 - 29세","기술공 및 준전문가",-
"여자","25 - 29세","사무 종사자",57
"여자","25 - 29세","서비스 및 판매 종사자",62
"여자","25 - 29세","농업,임업 및 어업 숙련종사자",1
"여자","25 - 29세","기능원 및 관련기능종사자",5
"여자","25 - 29세","장치,기계조작 및 조립종사자",1
"여자","25 - 29세","단순노무 종사자",6
"여자","25 - 29세","무직, 가사, 학생",221
"여자","25 - 29세","기타",30
"여자","30 - 34세","계",696
"여자","30 - 34세","관리자",8
"여자","30 - 34세","전문가 및 관련 종사자",61
"여자","30 - 34세","전문가",-
"여자","30 - 34세","기술공 및 준전문가",-
"여자","30 - 34세","사무 종사자",85
"여자","30 - 34세","서비스 및 판매 종사자",110
"여자","30 - 34세","농업,임업 및 어업 숙련종사자",2
"여자","30 - 34세","기능원 및 관련기능종사자",7
"여자","30 - 34세","장치,기계조작 및 조립종사자",2
"여자","30 - 34세","단순노무 종사자",15
"여자","30 - 34세","무직, 가사, 학생",356
"여자","30 - 34세","기타",50
"여자","35 - 39세","계",1079
"여자","35 - 39세","관리자",8
"여자","35 - 39세","전문가 및 관련 종사자",85
"여자","35 - 39세","전문가",-
"여자","35 - 39세","기술공 및 준전문가",-
"여자","35 - 39세","사무 종사자",126
"여자","35 - 39세","서비스 및 판매 종사자",110
"여자","35 - 39세","농업,임업 및 어업 숙련종사자",3
"여자","35 - 39세","기능원 및 관련기능종사자",7
"여자","35 - 39세","장치,기계조작 및 조립종사자",6
"여자","35 - 39세","단순노무 종사자",25
"여자","35 - 39세","무직, 가사, 학생",639
"여자","35 - 39세","기타",70
"여자","40 - 44세","계",1591
"여자","40 - 44세","관리자",31
"여자","40 - 44세","전문가 및 관련 종사자",130
"여자","40 - 44세","전문가",-
"여자","40 - 44세","기술공 및 준전문가",-
"여자","40 - 44세","사무 종사자",110
"여자","40 - 44세","서비스 및 판매 종사자",150
"여자","40 - 44세","농업,임업 및 어업 숙련종사자",11
"여자","40 - 44세","기능원 및 관련기능종사자",8
"여자","40 - 44세","장치,기계조작 및 조립종사자",6
"여자","40 - 44세","단순노무 종사자",40
"여자","40 - 44세","무직, 가사, 학생",987
"여자","40 - 44세","기타",118
"여자","45 - 49세","계",2375
"여자","45 - 49세","관리자",43
"여자","45 - 49세","전문가 및 관련 종사자",151
"여자","45 - 49세","전문가",-
"여자","45 - 49세","기술공 및 준전문가",-
"여자","45 - 49세","사무 종사자",142
"여자","45 - 49세","서비스 및 판매 종사자",269
"여자","45 - 49세","농업,임업 및 어업 숙련종사자",31
"여자","45 - 49세","기능원 및 관련기능종사자",9
"여자","45 - 49세","장치,기계조작 및 조립종사자",11
"여자","45 - 49세","단순노무 종사자",73
"여자","45 - 49세","무직, 가사, 학생",1496
"여자","45 - 49세","기타",150
"여자","50 - 54세","계",2964
"여자","50 - 54세","관리자",44
"여자","50 - 54세","전문가 및 관련 종사자",164
"여자","50 - 54세","전문가",-
"여자","50 - 54세","기술공 및 준전문가",-
"여자","50 - 54세","사무 종사자",96
"여자","50 - 54세","서비스 및 판매 종사자",363
"여자","50 - 54세","농업,임업 및 어업 숙련종사자",54
"여자","50 - 54세","기능원 및 관련기능종사자",23
"여자","50 - 54세","장치,기계조작 및 조립종사자",20
"여자","50 - 54세","단순노무 종사자",107
"여자","50 - 54세","무직, 가사, 학생",1905
"여자","50 - 54세","기타",188
"여자","55 - 59세","계",4072
"여자","55 - 59세","관리자",49
"여자","55 - 59세","전문가 및 관련 종사자",117
"여자","55 - 59세","전문가",-
"여자","55 - 59세","기술공 및 준전문가",-
"여자","55 - 59세","사무 종사자",70
"여자","55 - 59세","서비스 및 판매 종사자",441
"여자","55 - 59세","농업,임업 및 어업 숙련종사자",91
"여자","55 - 59세","기능원 및 관련기능종사자",33
"여자","55 - 59세","장치,기계조작 및 조립종사자",6
"여자","55 - 59세","단순노무 종사자",168
"여자","55 - 59세","무직, 가사, 학생",2876
"여자","55 - 59세","기타",221
"여자","60 - 64세","계",4662
"여자","60 - 64세","관리자",29
"여자","60 - 64세","전문가 및 관련 종사자",81
"여자","60 - 64세","전문가",-
"여자","60 - 64세","기술공 및 준전문가",-
"여자","60 - 64세","사무 종사자",24
"여자","60 - 64세","서비스 및 판매 종사자",320
"여자","60 - 64세","농업,임업 및 어업 숙련종사자",188
"여자","60 - 64세","기능원 및 관련기능종사자",22
"여자","60 - 64세","장치,기계조작 및 조립종사자",4
"여자","60 - 64세","단순노무 종사자",151
"여자","60 - 64세","무직, 가사, 학생",3550
"여자","60 - 64세","기타",293
"여자","65 - 69세","계",5770
"여자","65 - 69세","관리자",23
"여자","65 - 69세","전문가 및 관련 종사자",47
"여자","65 - 69세","전문가",-
"여자","65 - 69세","기술공 및 준전문가",-
"여자","65 - 69세","사무 종사자",11
"여자","65 - 69세","서비스 및 판매 종사자",211
"여자","65 - 69세","농업,임업 및 어업 숙련종사자",317
"여자","65 - 69세","기능원 및 관련기능종사자",12
"여자","65 - 69세","장치,기계조작 및 조립종사자",3
"여자","65 - 69세","단순노무 종사자",150
"여자","65 - 69세","무직, 가사, 학생",4642
"여자","65 - 69세","기타",354
"여자","70 - 74세","계",9257
"여자","70 - 74세","관리자",20
"여자","70 - 74세","전문가 및 관련 종사자",47
"여자","70 - 74세","전문가",-
"여자","70 - 74세","기술공 및 준전문가",-
"여자","70 - 74세","사무 종사자",10
"여자","70 - 74세","서비스 및 판매 종사자",160
"여자","70 - 74세","농업,임업 및 어업 숙련종사자",732
"여자","70 - 74세","기능원 및 관련기능종사자",9
"여자","70 - 74세","장치,기계조작 및 조립종사자",3
"여자","70 - 74세","단순노무 종사자",140
"여자","70 - 74세","무직, 가사, 학생",7600
"여자","70 - 74세","기타",536
"여자","75 - 79세","계",17686
"여자","75 - 79세","관리자",23
"여자","75 - 79세","전문가 및 관련 종사자",37
"여자","75 - 79세","전문가",-
"여자","75 - 79세","기술공 및 준전문가",-
"여자","75 - 79세","사무 종사자",17
"여자","75 - 79세","서비스 및 판매 종사자",119
"여자","75 - 79세","농업,임업 및 어업 숙련종사자",1462
"여자","75 - 79세","기능원 및 관련기능종사자",11
"여자","75 - 79세","장치,기계조작 및 조립종사자",3
"여자","75 - 79세","단순노무 종사자",161
"여자","75 - 79세","무직, 가사, 학생",14731
"여자","75 - 79세","기타",1122
"여자","80세이상","계",79348
"여자","80세이상","관리자",68
"여자","80세이상","전문가 및 관련 종사자",147
"여자","80세이상","전문가",-
"여자","80세이상","기술공 및 준전문가",-
"여자","80세이상","사무 종사자",46
"여자","80세이상","서비스 및 판매 종사자",190
"여자","80세이상","농업,임업 및 어업 숙련종사자",4506
"여자","80세이상","기능원 및 관련기능종사자",32
"여자","80세이상","장치,기계조작 및 조립종사자",15
"여자","80세이상","단순노무 종사자",400
"여자","80세이상","무직, 가사, 학생",68525
"여자","80세이상","기타",5419
"여자","80 - 84세","계",25939
"여자","80 - 84세","관리자",19
"여자","80 - 84세","전문가 및 관련 종사자",59
"여자","80 - 84세","전문가",-
"여자","80 - 84세","기술공 및 준전문가",-
"여자","80 - 84세","사무 종사자",13
"여자","80 - 84세","서비스 및 판매 종사자",102
"여자","80 - 84세","농업,임업 및 어업 숙련종사자",1901
"여자","80 - 84세","기능원 및 관련기능종사자",13
"여자","80 - 84세","장치,기계조작 및 조립종사자",4
"여자","80 - 84세","단순노무 종사자",149
"여자","80 - 84세","무직, 가사, 학생",21955
"여자","80 - 84세","기타",1724
"여자","85 - 89세","계",27370
"여자","85 - 89세","관리자",29
"여자","85 - 89세","전문가 및 관련 종사자",46
"여자","85 - 89세","전문가",-
"여자","85 - 89세","기술공 및 준전문가",-
"여자","85 - 89세","사무 종사자",17
"여자","85 - 89세","서비스 및 판매 종사자",55
"여자","85 - 89세","농업,임업 및 어업 숙련종사자",1517
"여자","85 - 89세","기능원 및 관련기능종사자",11
"여자","85 - 89세","장치,기계조작 및 조립종사자",5
"여자","85 - 89세","단순노무 종사자",151
"여자","85 - 89세","무직, 가사, 학생",23682
"여자","85 - 89세","기타",1857
"여자","90세이상","계",26039
"여자","90세이상","관리자",20
"여자","90세이상","전문가 및 관련 종사자",42
"여자","90세이상","전문가",-
"여자","90세이상","기술공 및 준전문가",-
"여자","90세이상","사무 종사자",16
"여자","90세이상","서비스 및 판매 종사자",33
"여자","90세이상","농업,임업 및 어업 숙련종사자",1088
"여자","90세이상","기능원 및 관련기능종사자",8
"여자","90세이상","장치,기계조작 및 조립종사자",6
"여자","90세이상","단순노무 종사자",100
"여자","90세이상","무직, 가사, 학생",22888
"여자","90세이상","기타",1838
"여자","90 - 94세","계",18072
"여자","90 - 94세","관리자",16
"여자","90 - 94세","전문가 및 관련 종사자",32
"여자","90 - 94세","전문가",-
"여자","90 - 94세","기술공 및 준전문가",-
"여자","90 - 94세","사무 종사자",11
"여자","90 - 94세","서비스 및 판매 종사자",29
"여자","90 - 94세","농업,임업 및 어업 숙련종사자",789
"여자","90 - 94세","기능원 및 관련기능종사자",7
"여자","90 - 94세","장치,기계조작 및 조립종사자",3
"여자","90 - 94세","단순노무 종사자",64
"여자","90 - 94세","무직, 가사, 학생",15854
"여자","90 - 94세","기타",1267
"여자","95 - 99세","계",6552
"여자","95 - 99세","관리자",3
"여자","95 - 99세","전문가 및 관련 종사자",8
"여자","95 - 99세","전문가",-
"여자","95 - 99세","기술공 및 준전문가",-
"여자","95 - 99세","사무 종사자",2
"여자","95 - 99세","서비스 및 판매 종사자",4
"여자","95 - 99세","농업,임업 및 어업 숙련종사자",254
"여자","95 - 99세","기능원 및 관련기능종사자",1
"여자","95 - 99세","장치,기계조작 및 조립종사자",3
"여자","95 - 99세","단순노무 종사자",31
"여자","95 - 99세","무직, 가사, 학생",5765
"여자","95 - 99세","기타",481
"여자","100세이상","계",1415
"여자","100세이상","관리자",1
"여자","100세이상","전문가 및 관련 종사자",2
"여자","100세이상","전문가",-
"여자","100세이상","기술공 및 준전문가",-
"여자","100세이상","사무 종사자",3
"여자","100세이상","서비스 및 판매 종사자",0
"여자","100세이상","농업,임업 및 어업 숙련종사자",45
"여자","100세이상","기능원 및 관련기능종사자",0
"여자","100세이상","장치,기계조작 및 조립종사자",0
"여자","100세이상","단순노무 종사자",5
"여자","100세이상","무직, 가사, 학생",1269
"여자","100세이상","기타",90
"여자","연령미상","계",25
"여자","연령미상","관리자",0
"여자","연령미상","전문가 및 관련 종사자",0
"여자","연령미상","전문가",-
"여자","연령미상","기술공 및 준전문가",-
"여자","연령미상","사무 종사자",0
"여자","연령미상","서비스 및 판매 종사자",0
"여자","연령미상","농업,임업 및 어업 숙련종사자",0
"여자","연령미상","기능원 및 관련기능종사자",0
"여자","연령미상","장치,기계조작 및 조립종사자",0
"여자","연령미상","단순노무 종사자",0
"여자","연령미상","무직, 가사, 학생",20
"여자","연령미상","기타",5
